synthetic_id,urbanism,woning,energy_label,inkomen,opleiding,huur_koop,DOI,values_1,values_2,values_3,att,attitude_ET,heating_system,hp_type,installation_year,ownership,satisf_hp,financial_benefits,subsidy_imp,satisf_hs,hs_age,satisf_mot_hs_1,satisf_mot_hs_2,satisf_mot_hs_3,satisf_mot_hs_4,satisf_mot_hs_5,intention,capability,capability_factor_1,capability_factor_2,capability_factor_3,capability_factor_4,capability_factor_5,motivation,opportunity_event_1,opportunity_event_2,opportunity_event_3,opportunity_event_4,opportunity_event_5,opportunity_event_6,info_source_1,info_source_2,info_source_3,info_source_4,info_source_5,exp_satisf_mot_hp_1,exp_satisf_mot_hp_2,exp_satisf_mot_hp_3,exp_satisf_mot_hp_4,exp_satisf_mot_hp_5,exp_satisf_mot_hp_6,exp_satisf_mot_hp_7,exp_satisf_mot_hp_8,exp_satisf_mot_hp_9,exp_satisf_mot_hp_10,exp_satisf_mot_hp_11,exp_satisf_mot_hp_12,exp_satisf_mot_hp_13,importance_mot_1,importance_mot_2,importance_mot_3,importance_mot_4,importance_mot_5,importance_mot_6,importance_mot_7,importance_mot_8,importance_mot_9,importance_mot_10,importance_mot_11,importance_mot_12,importance_mot_13,sensitivity_norms_1,sensitivity_norms_2,policy_awareness,policy_option_1,policy_option_2,policy_option_3,policy_option_4,policy_option_5,policy_option_6,policy_option_7,policy_option_8,price_1,pbt_1,ISDE_BAU,ISDE_laag,ISDE_hoog,hassle,normering,talk,subjectieve_norm,global_norm_1,media_freq,media_val,topics_sources_1,topics_sources_2,topics_sources_3,topics_sources_4,topics_sources_5,household_size,bouwjaar,insulation_option_1,insulation_option_2,insulation_option_3,insulation_option_4,insulation_option_5,insulation_option_6,improve_label,district_heating,id,opleiding_cat,woonsituatie,kinderen,werk_huidig,werk_uren,inkomen_cat,path_group
11,5,1,4,4,7,1,3,3,5,3,5,4,3,3,2024,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,1,6,1,3,1,1,1,4,1,0,0,0,0,1,0,4,3,,3,4,1,2,2,3,owner_hp
12,3,1,1,5,11,1,3,3,4,2,4,4,3,1,2022,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,3,4,2,3,1,2,1,4,8,1,1,1,0,0,0,4,4,,3,4,1,2,1,3,owner_hp
13,4,2,1,5,9,1,2,4,1,3,3,4,2,1,2023,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,30,2,4,1,3,1,1,1,2,7,1,0,0,0,0,0,4,2,,2,3,0,1,1,3,owner_hp
14,3,1,1,5,11,1,3,3,4,2,4,4,3,1,2022,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,3,4,2,3,1,2,1,4,8,1,1,1,0,0,0,4,4,,3,4,1,2,1,3,owner_hp
15,1,5,1,6,7,1,3,5,5,2,5,5,3,1,2023,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,3,3,2,2,3,2,3,2,8,1,1,1,0,0,0,4,3,,3,3,0,2,1,0,owner_hp
16,3,1,1,5,11,1,3,1,1,4,5,5,3,1,2022,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,5,1,1,1,1,1,3,8,1,1,1,0,0,0,4,2,,3,4,1,2,1,3,owner_hp
17,3,3,1,4,11,1,2,2,3,2,3,4,3,1,2020,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,3,2,3,3,1,3,2,8,1,1,1,0,0,0,3,3,,3,3,0,1,1,3,owner_hp
18,4,1,5,5,11,1,2,4,3,2,4,5,2,1,2025,1,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,2,4,1,3,1,3,1,6,1,0,1,0,1,0,0,3,2,,3,4,1,2,2,3,owner_hp
19,3,1,1,6,5,1,3,4,4,2,3,5,3,1,2020,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,40,2,6,3,1,1,3,3,2,8,1,1,1,0,0,0,4,4,,2,4,1,5,0,0,owner_hp
20,3,1,1,5,11,1,3,1,1,4,5,5,3,1,2022,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,5,1,1,1,1,1,3,8,1,1,1,0,0,0,4,2,,3,4,1,2,1,3,owner_hp
21,5,5,2,6,5,1,3,4,2,3,3,2,3,3,2015,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,2,3,3,3,1,1,1,2,7,1,1,1,0,0,0,3,2,,2,4,1,1,2,0,owner_hp
22,3,5,1,3,4,1,3,4,3,3,3,4,3,1,2025,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,2,3,2,2,2,2,2,1,8,1,1,1,0,0,0,3,3,,2,2,0,1,1,2,owner_hp
23,4,3,1,4,7,1,2,3,3,2,4,4,3,2,2025,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,48,3,4,1,1,1,1,1,2,8,1,1,1,0,0,0,3,3,,3,3,0,2,1,3,owner_hp
24,4,3,1,4,11,1,2,3,4,3,4,4,3,1,2025,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,2,4,3,3,3,3,1,2,8,1,1,1,0,0,0,4,3,,3,3,0,2,1,3,owner_hp
25,3,5,1,3,4,1,3,4,3,3,3,4,3,1,2025,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,2,3,2,2,2,2,2,1,8,1,1,1,0,0,0,3,3,,2,2,0,1,1,2,owner_hp
26,4,1,1,6,7,1,2,4,5,3,4,4,3,2,2023,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,20,5,4,1,1,3,1,3,4,8,1,1,1,0,0,0,4,2,,3,1,0,2,1,0,owner_hp
27,5,5,2,6,5,1,3,4,2,3,3,2,3,3,2015,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,2,3,3,3,1,1,1,2,7,1,1,1,0,0,0,3,2,,2,4,1,1,2,0,owner_hp
28,2,3,1,4,11,1,3,4,3,2,4,5,2,3,2025,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,5,4,1,1,1,2,1,2,5,1,0,0,0,0,0,1,3,,3,3,0,1,1,3,owner_hp
29,3,1,1,5,11,1,3,3,4,2,4,4,3,1,2022,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,3,4,2,3,1,2,1,4,8,1,1,1,0,0,0,4,4,,3,4,1,2,1,3,owner_hp
30,3,3,2,2,4,1,3,4,4,4,3,4,2,1,2022,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,2,4,2,2,2,2,2,2,5,0,0,1,0,0,0,3,2,,2,3,0,2,1,1,owner_hp
31,4,1,1,6,7,1,2,4,5,3,4,4,3,2,2023,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,20,5,4,1,1,3,1,3,4,8,1,1,1,0,0,0,4,2,,3,1,0,2,1,0,owner_hp
32,1,3,1,4,11,1,3,4,4,4,4,4,3,3,2024,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,30,2,3,3,1,1,2,2,2,1,1,1,0,0,0,0,2,2,,3,3,0,2,1,3,owner_hp
33,1,1,1,6,11,1,2,3,3,2,4,4,3,3,2025,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,20,2,3,1,2,1,2,2,2,8,1,1,0,0,0,0,4,2,,3,3,1,1,1,0,owner_hp
34,3,1,1,6,5,1,3,4,4,2,3,5,3,1,2020,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,40,2,6,3,1,1,3,3,2,8,1,1,1,0,0,0,4,4,,2,4,1,5,0,0,owner_hp
35,3,4,1,4,11,1,3,5,3,4,5,5,2,1,2023,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,5,4,2,1,1,2,2,4,6,1,1,1,0,0,0,4,3,,3,4,1,2,2,3,owner_hp
36,4,3,1,4,7,1,2,3,3,2,4,4,3,2,2025,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,48,3,4,1,1,1,1,1,2,8,1,1,1,0,0,0,3,3,,3,3,0,2,1,3,owner_hp
37,3,1,1,5,11,1,3,3,4,2,4,4,3,1,2022,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,3,4,2,3,1,2,1,4,8,1,1,1,0,0,0,4,4,,3,4,1,2,1,3,owner_hp
38,3,2,1,4,7,1,2,4,5,4,4,4,3,1,2020,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,20,3,4,3,3,3,3,3,3,3,1,1,1,0,0,0,3,3,,3,3,1,1,1,3,owner_hp
39,3,3,2,2,4,1,3,4,4,4,3,4,2,1,2022,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,2,4,2,2,2,2,2,2,5,0,0,1,0,0,0,3,2,,2,3,0,2,1,1,owner_hp
40,4,1,1,1,11,1,3,5,2,3,5,5,3,1,2017,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,2,4,3,1,1,1,3,3,7,1,1,1,0,0,0,3,3,,3,1,0,2,4,1,owner_hp
41,3,1,1,5,11,1,3,1,1,4,5,5,3,1,2022,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,5,1,1,1,1,1,3,8,1,1,1,0,0,0,4,2,,3,4,1,2,1,3,owner_hp
42,4,1,5,5,11,1,2,4,3,2,4,5,2,1,2025,1,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,2,4,1,3,1,3,1,6,1,0,1,0,1,0,0,3,2,,3,4,1,2,2,3,owner_hp
43,4,1,1,4,7,1,3,4,5,3,4,2,2,1,2024,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,5,3,2,2,2,2,2,2,5,1,1,1,0,0,0,4,2,,3,3,0,2,1,3,owner_hp
44,3,5,1,4,11,1,3,5,4,3,5,5,3,1,2018,2,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,3,4,2,3,3,2,3,2,8,0,0,0,0,1,0,4,3,,3,3,0,2,4,3,owner_hp
45,4,2,1,5,9,1,2,4,1,3,3,4,2,1,2023,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,30,2,4,1,3,1,1,1,2,7,1,0,0,0,0,0,4,2,,2,3,0,1,1,3,owner_hp
46,3,3,2,2,4,1,3,4,4,4,3,4,2,1,2022,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,2,4,2,2,2,2,2,2,5,0,0,1,0,0,0,3,2,,2,3,0,2,1,1,owner_hp
47,4,1,1,6,4,1,3,4,4,2,4,4,3,1,2025,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,27,2,4,3,3,3,3,3,2,8,1,1,1,0,0,0,4,2,,2,3,1,5,0,0,owner_hp
48,4,1,5,5,11,1,2,4,3,2,4,5,2,1,2025,1,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,2,4,1,3,1,3,1,6,1,0,1,0,1,0,0,3,2,,3,4,1,2,2,3,owner_hp
49,3,3,1,4,11,1,2,2,3,2,3,4,3,1,2020,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,3,2,3,3,1,3,2,8,1,1,1,0,0,0,3,3,,3,3,0,1,1,3,owner_hp
50,3,1,1,5,11,1,3,1,1,4,5,5,3,1,2022,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,2,5,1,1,1,1,1,3,8,1,1,1,0,0,0,4,2,,3,4,1,2,1,3,owner_hp
